,best,avg,cycle_time(ms)
0,0,0.0,0.0
1,1433,1383.375,2.6063919067382812
2,1447,1383.375,4.013538360595703
3,1447,1374.875,2.9964447021484375
4,1433,1394.5,3.0260086059570312
5,1442,1412.625,2.994060516357422
6,1431,1377.5,3.020763397216797
7,1449,1368.375,3.0002593994140625
8,1435,1392.5,3.095865249633789
9,1444,1396.875,2.992391586303711
10,1429,1366.875,2.5167465209960938
11,1449,1380.875,5.020856857299805
12,1438,1370.25,3.184795379638672
13,1426,1391.125,2.991199493408203
14,1438,1387.625,4.532098770141602
15,1434,1388.375,3.0143260955810547
16,1430,1389.5,3.4711360931396484
17,1442,1376.5,2.995014190673828
18,1404,1337.875,3.0167102813720703
19,1434,1361.875,3.9925575256347656
20,1426,1350.375,2.9926300048828125
21,1452,1410.25,5.0220489501953125
22,1444,1392.5,3.058195114135742
23,1446,1396.875,3.2012462615966797
24,1448,1396.875,5.467891693115234
25,1445,1395.375,2.9900074005126953
26,1434,1384.75,5.53584098815918
27,1446,1390.375,3.9937496185302734
28,1413,1370.25,3.4987926483154297
29,1425,1365.5,2.9916763305664062
30,1437,1382.375,3.54766845703125
31,1430,1373.125,4.986047744750977
32,1420,1384.125,3.498077392578125
33,1404,1371.0,3.9887428283691406
34,1443,1376.5,3.606081008911133
35,1428,1369.125,2.994537353515625
36,1427,1377.75,2.649545669555664
37,1408,1367.125,3.9949417114257812
38,1431,1367.375,3.5409927368164062
39,1430,1365.75,4.370689392089844
40,1441,1387.75,3.0252933502197266
41,1448,1375.875,5.017995834350586
42,1377,1351.875,2.0210742950439453
43,1431,1391.0,3.4193992614746094
44,1445,1371.125,2.994537353515625
45,1442,1367.875,3.0205249786376953
46,1436,1371.375,4.0149688720703125
47,1437,1371.375,2.5014877319335938
48,1405,1362.25,2.9969215393066406
49,1436,1354.375,3.5681724548339844
50,1458,1366.25,3.0248165130615234
