,best,avg
0,0,0.0
1,1433,1264.625
2,1433,1343.75
3,1440,1342.25
4,1440,1278.625
5,1440,1281.375
6,1440,1260.625
7,1440,1228.875
8,1447,1298.0
9,1447,1322.625
10,1447,1379.375
11,1447,1322.0
12,1447,1212.625
13,1447,1332.875
14,1447,1312.75
15,1447,1258.0
16,1447,1313.5
17,1447,1291.625
18,1447,1277.375
19,1447,1221.0
20,1447,1255.75
21,1447,1298.125
22,1447,1321.75
23,1447,1307.875
24,1447,1188.0
25,1447,1138.0
26,1447,1275.25
27,1447,1272.375
28,1447,1317.375
29,1447,1367.25
30,1447,1333.5
31,1447,1358.75
32,1447,1066.25
33,1447,1094.0
34,1447,1341.875
35,1447,1351.875
36,1447,1268.0
37,1447,1237.875
38,1447,1329.375
39,1447,1312.375
40,1447,1380.875
41,1447,1356.0
42,1447,1235.625
43,1447,1229.125
44,1447,1278.5
45,1447,1254.5
46,1447,1254.75
47,1447,1314.75
48,1447,1300.625
49,1447,1327.125
50,1447,1373.75
51,1447,1370.875
52,1447,1340.875
53,1447,1215.125
54,1447,1326.875
55,1447,1372.875
56,1447,1334.875
57,1447,1356.875
58,1447,1320.625
59,1447,1215.25
60,1447,1330.375
61,1447,1240.125
62,1447,1186.375
63,1447,1249.0
64,1447,1331.625
65,1447,1362.0
66,1447,1268.75
67,1447,1190.875
68,1447,1339.25
69,1447,1254.875
70,1447,1303.375
71,1447,1360.125
72,1447,1308.25
73,1447,1372.25
74,1447,1261.0
75,1447,1241.625
76,1447,1265.625
77,1447,1235.75
78,1447,1277.875
79,1447,1166.5
80,1447,1244.125
81,1447,1143.875
82,1447,1274.0
83,1447,1317.5
84,1447,1261.625
85,1447,1130.625
86,1447,1209.5
87,1447,1189.5
88,1447,1152.625
89,1447,1128.625
90,1447,1326.625
91,1447,1391.5
92,1447,1321.0
93,1447,1353.125
94,1447,1301.125
95,1447,1323.875
96,1447,1313.5
97,1447,1355.875
98,1447,1338.625
99,1447,1270.625
100,1447,1321.125
101,1447,1305.0
102,1447,1249.875
103,1447,1369.375
104,1447,1281.625
105,1447,1210.125
106,1447,1207.25
107,1447,1256.0
108,1447,1299.5
109,1447,1185.375
110,1447,1208.25
111,1447,1263.625
112,1447,1327.0
113,1447,1346.5
114,1447,1323.125
115,1447,1337.25
116,1447,1303.5
117,1447,1223.875
118,1447,1300.125
119,1447,1311.0
120,1447,1292.625
121,1447,1230.625
122,1447,1345.625
123,1447,1251.125
124,1447,1279.75
125,1447,1337.5
126,1447,1242.125
127,1447,1303.5
128,1447,1281.75
129,1447,1294.0
130,1447,1313.25
131,1447,1293.25
132,1447,1315.375
133,1447,1260.875
134,1447,1268.5
135,1447,1392.375
136,1447,1361.875
137,1447,1186.625
138,1447,1347.25
139,1447,1298.375
140,1447,1216.75
141,1447,1328.5
142,1447,1251.375
143,1447,1271.625
144,1447,1198.375
145,1447,1366.5
146,1447,1336.625
147,1447,1246.375
148,1447,1262.875
149,1447,1261.0
150,1447,1243.5
151,1449,1245.5
152,1449,1313.25
153,1449,1350.375
154,1449,1283.0
155,1449,1310.875
156,1449,1252.875
157,1449,1346.0
158,1449,1291.0
159,1449,1297.625
160,1449,1125.875
161,1449,1164.875
162,1449,1256.375
163,1449,1151.25
164,1449,1327.625
165,1449,1261.75
166,1449,1125.5
167,1449,1250.125
168,1449,1317.25
169,1449,1363.375
170,1449,1288.25
171,1449,1239.25
172,1449,1329.5
173,1449,1282.375
174,1449,1360.75
175,1449,1333.875
176,1449,1281.25
177,1449,1242.25
178,1449,1293.5
179,1449,1272.25
180,1449,1227.25
181,1449,1356.25
182,1449,1285.625
183,1449,1319.0
184,1449,1241.25
185,1449,1282.875
186,1449,1184.125
187,1453,1295.125
188,1453,1276.625
189,1453,1380.125
190,1453,1217.625
191,1453,1219.375
192,1453,1374.125
193,1453,1293.625
194,1453,1232.75
195,1453,1107.625
196,1453,1253.375
197,1453,1300.0
198,1453,1271.25
199,1453,1307.625
200,1453,1292.125
201,1453,1300.625
202,1453,1331.375
203,1453,1349.125
204,1453,1303.0
205,1453,1189.625
206,1453,1231.125
207,1453,1226.625
208,1453,1267.75
209,1453,1221.625
210,1453,1334.25
211,1453,1239.625
212,1453,1190.5
213,1453,1330.5
