,best,avg
0,0,0.0
1,12577713,11527790.5
2,12577713,11357559.875
3,12577713,10108306.375
4,12577713,10919790.5
5,12577713,11564497.5
6,13150455,11930447.0
7,13150455,11713020.75
8,13150455,11802006.5
9,13150455,12313615.0
10,13150455,12083270.375
11,13150455,11440440.25
12,13154216,11487411.75
13,13154216,10581600.5
14,13154216,10337883.625
15,13154216,11833555.0
16,13154216,10915140.0
17,13154216,11505992.625
18,13154216,12304884.625
19,13154216,11739603.375
20,13154216,11193833.0
21,13154216,11657931.0
22,13154216,12034993.375
23,13154216,12432894.5
24,13154216,12236066.0
25,13154216,12572979.875
26,13330044,12595253.25
27,13330044,11217478.0
28,13330044,12317793.125
29,13330044,12327789.75
30,13330044,12067422.875
31,13330044,12715090.5
32,13330044,12346157.0
33,13330044,11130951.75
34,13330044,12022722.625
35,13330044,11576579.875
36,13330044,11897861.875
37,13330044,10632579.875
38,13330044,11169396.75
39,13330044,11453458.0
40,13330044,11732429.75
41,13330044,12073679.375
42,13330044,11898217.5
43,13330044,11879162.5
44,13330044,12001127.625
45,13330044,12276959.375
46,13330044,12545824.75
47,13330044,11384921.875
48,13330044,11309384.75
49,13330044,12048894.25
50,13330044,12010739.375
51,13330044,11565410.125
52,13330044,11561587.75
53,13330044,11255014.0
54,13330044,12449365.5
55,13330044,12636297.875
56,13330044,11725527.75
57,13330044,11670387.5
58,13330044,10810044.75
59,13330044,12252836.875
60,13330044,12581164.125
61,13330044,11932176.0
62,13330044,11359598.75
63,13330044,11562837.375
64,13330044,11316871.75
65,13330044,12398223.0
66,13330044,11940349.0
67,13330044,12462873.625
68,13330044,11354528.125
69,13330044,11933449.25
70,13330044,12160371.125
71,13330044,11710197.25
72,13330044,11501891.0
73,13330044,11042092.5
74,13330044,11445752.0
75,13330044,10432044.875
76,13330044,10919829.0
77,13330044,12209227.25
78,13330044,11544792.0
79,13330044,11202008.375
80,13330044,11408345.75
81,13330044,12306506.625
82,13330044,12406279.5
83,13330044,12118166.25
84,13330044,11483964.625
85,13330044,12448962.25
86,13330044,11434059.375
87,13330044,11738425.0
88,13330044,12654360.875
89,13330044,11749393.875
90,13330044,10740475.25
91,13330044,12152572.75
92,13330044,12904999.125
93,13330044,11616846.625
94,13330044,11099622.375
95,13330044,11746619.25
96,13330044,11189595.75
97,13330044,11954702.625
98,13330044,11664770.875
99,13330044,11682959.5
100,13330044,11633353.625
101,13330044,11820671.375
102,13330044,12064323.75
103,13330044,11543408.5
104,13330044,10635698.125
105,13330044,10708785.875
106,13330044,12329272.0
107,13330044,11488439.625
108,13330044,11994317.375
109,13330044,12075127.375
110,13330044,11689938.875
111,13330044,10820269.75
112,13330044,11736822.25
113,13330044,12750251.375
114,13330044,12336372.75
115,13330044,11958608.125
116,13330044,11698013.75
117,13330044,11501492.5
118,13330044,11076381.375
119,13330044,12644869.625
120,13330044,12226497.875
121,13330044,11771949.875
122,13330044,11883189.375
123,13330044,11317688.625
124,13330044,12016354.125
125,13330044,11521089.875
126,13330044,11302562.0
127,13330044,10688610.125
128,13330044,11572129.625
129,13330044,12411259.25
130,13330044,11104102.625
131,13330044,12222449.625
132,13330044,12018059.875
133,13330044,12070813.25
134,13330044,12581165.25
135,13330044,12090686.375
136,13330044,12327690.5
137,13330044,12312663.875
138,13330044,12036065.625
139,13330044,11756982.625
140,13330044,12116759.5
141,13330044,12404928.625
142,13330044,11940899.125
143,13330044,11143147.25
144,13330044,11094306.0
145,13330044,11061644.5
146,13330044,11650943.5
147,13330044,11900520.875
148,13330044,10975829.0
149,13330044,11317732.875
150,13330044,10888940.375
151,13330044,12165397.375
152,13330044,12810108.125
153,13330044,11852547.0
154,13330044,11594877.5
155,13330044,11015558.875
156,13330044,12211697.875
157,13330044,11829888.75
158,13330044,11655340.125
159,13330044,11400497.5
160,13330044,12025788.375
161,13330044,11299975.5
162,13330044,11377858.25
163,13330044,11947669.5
164,13330044,11934338.25
165,13330044,11626284.0
166,13330044,11657344.25
167,13330044,11740343.875
168,13330044,11304538.875
169,13330044,12029138.25
170,13330044,12631180.125
171,13330044,12846953.0
172,13330044,12070642.5
173,13330044,11414023.25
174,13330044,11878726.375
175,13330044,12116549.75
176,13330044,11721277.875
177,13330044,12764548.125
178,13330044,11859312.375
179,13330044,11969370.125
180,13330044,11615558.0
181,13330044,11034625.25
182,13330044,11712228.375
183,13330044,11693186.0
184,13330044,12189474.375
185,13330044,12047640.625
186,13330044,12552824.75
187,13330044,12420889.0
188,13330044,12208932.875
189,13330044,12008459.625
190,13330044,11628672.125
191,13330044,11685402.125
192,13330044,11072357.5
193,13330044,12387159.125
194,13330044,11572945.5
195,13330044,12271260.0
196,13330044,11825699.375
197,13330044,11463291.375
198,13330044,11405188.375
199,13330044,11847689.5
200,13330044,11582204.125
201,13330044,11506258.375
202,13330044,11829282.375
203,13330044,11722878.75
204,13330044,11342302.375
205,13330044,11530250.375
206,13330044,12594817.75
207,13330044,12726055.625
208,13330044,11272951.875
209,13330044,12405420.875
210,13330044,12448050.625
211,13330044,12703922.25
212,13330044,11215534.875
213,13330044,11900036.125
214,13330044,11495247.375
215,13330044,11054544.75
216,13330044,11781442.0
217,13330044,11069060.125
218,13330044,11998402.875
219,13330044,12141815.625
220,13330044,12479480.625
221,13330044,11881788.75
222,13330044,12151884.125
223,13330044,11966310.0
224,13330044,11861503.875
225,13330044,12192139.375
226,13330044,12035601.0
227,13330044,11815256.0
228,13330044,12473221.125
229,13330044,11466400.75
230,13330044,12084901.75
231,13330044,11738918.625
232,13330044,11981718.75
233,13330044,12030877.375
234,13330044,11532699.875
235,13330044,11627727.125
236,13330044,12009194.25
237,13330044,12163801.75
238,13330044,10857228.625
239,13330044,11965028.375
240,13330044,12451608.125
241,13330044,12496474.125
242,13330044,12164448.0
243,13330044,11845211.75
244,13330044,11632455.75
245,13330044,11967485.375
246,13330044,12217870.125
247,13330044,12180586.125
248,13330044,12143774.0
249,13330044,11824700.625
250,13330044,11282313.0
251,13330044,11371162.0
252,13330044,11568693.875
253,13330044,11684872.75
254,13330044,11575360.5
255,13330044,11548759.0
256,13330044,12329276.375
257,13330044,11664831.625
258,13330044,11451008.5
259,13330044,12370629.375
260,13330044,12367088.0
261,13330044,11357387.75
262,13330044,10935954.75
263,13330044,11547955.25
264,13330044,11787019.25
265,13330044,12487927.875
266,13330044,12463425.625
267,13330044,12090900.625
268,13330044,11748667.375
269,13330044,11992458.0
270,13330044,11856930.0
271,13330044,11776402.875
272,13330044,11634273.75
273,13330044,11949149.875
274,13330044,12464248.625
275,13330044,11933710.5
276,13330044,11437861.0
277,13330044,11876381.25
278,13330044,11737357.875
279,13330044,11979580.0
280,13330044,12344410.375
281,13330044,12166614.0
282,13330044,12550579.875
283,13330044,12201242.125
284,13330044,11833700.625
285,13330044,10809223.375
286,13330044,12239691.0
287,13330044,11626372.625
288,13330044,11609869.75
289,13330044,12527907.875
290,13330044,12413811.5
291,13330044,11661982.625
292,13330044,12165226.0
293,13330044,12154697.375
294,13330044,11763711.625
295,13330044,12432205.0
296,13330044,12403499.75
297,13330044,12608757.0
298,13330044,12024350.5
299,13330044,11333917.125
300,13330044,11523186.5
301,13330044,11780107.75
302,13330044,12197504.75
303,13330044,10341979.625
304,13330044,12300042.25
305,13330044,12414899.0
306,13330044,12382639.125
307,13330044,12421618.25
308,13330044,12237309.25
309,13330044,11928086.875
310,13330044,11852603.25
311,13330044,11765957.25
312,13330044,12470225.125
313,13330044,12535704.5
314,13330044,10456255.0
315,13330044,11600101.375
316,13330044,11621339.625
317,13330044,11794979.125
318,13330044,11373685.75
319,13330044,11269876.375
320,13330044,11070982.375
321,13330044,11942104.875
322,13330044,12029894.625
323,13330044,11555463.125
324,13330044,11857043.125
325,13330044,11347561.0
326,13330044,11563960.25
327,13330044,11940433.625
328,13330044,12057201.25
329,13330044,11896391.75
330,13330044,12105852.25
331,13330044,11502841.5
332,13330044,10496476.25
333,13330044,12269904.125
334,13330044,12236005.125
335,13330044,11736889.875
336,13330044,10318364.625
337,13330044,11431201.875
338,13330044,10854289.875
339,13330044,11489155.75
340,13330044,11522758.0
341,13330044,10750607.25
342,13330044,12584341.625
343,13330044,12201106.375
344,13330044,11984067.0
345,13330044,10906078.25
346,13330044,11348431.625
347,13330044,11012206.25
348,13330044,11723331.5
349,13330044,12090771.25
350,13330044,11472258.5
351,13330044,12111064.875
352,13330044,12015824.125
353,13330044,11947421.25
354,13330044,11839597.25
355,13330044,11575763.25
356,13330044,10757238.875
357,13330044,11083334.75
358,13330044,11526662.125
359,13330044,11491138.0
360,13330044,12590812.375
361,13330044,12569264.5
362,13330044,12217073.5
363,13330044,11918853.375
364,13330044,12387932.0
365,13330044,11994648.125
366,13330044,12124714.25
367,13330044,12134142.75
368,13330044,12075847.875
369,13330044,11836614.25
370,13330044,11937262.625
371,13330044,12561464.875
372,13330044,11510435.5
373,13330044,12206081.875
374,13330044,12720843.375
375,13330044,12772683.125
376,13330044,12132407.375
377,13330044,11659314.5
378,13330044,11954652.0
379,13330044,12315012.875
380,13330044,12388656.875
381,13330044,11339075.25
382,13330044,12269575.5
383,13330044,11719353.0
384,13330044,11972657.75
385,13330044,12452248.5
386,13330044,11968582.875
387,13330044,11894049.375
388,13330044,11122922.625
389,13330044,12084657.625
390,13330044,12069960.5
391,13330044,11646067.125
392,13330044,11220883.375
393,13330044,10911529.0
394,13330044,11663685.625
395,13330044,11315801.5
396,13330044,12125881.875
397,13330044,11100691.625
398,13330044,11855071.75
399,13330044,12165605.0
400,13330044,12203220.25
401,13330044,12285688.5
402,13330044,12143276.75
403,13330044,12057041.75
404,13330044,11526009.5
405,13330044,11914660.875
406,13330044,12240515.0
407,13330044,12352800.875
408,13330044,12272737.75
409,13330044,12144996.625
410,13330044,12031436.0
411,13330044,11820680.25
412,13330044,11538591.875
413,13330044,11523201.125
414,13330044,12147173.75
415,13330044,12006717.75
416,13330044,12471449.25
417,13330044,12179886.625
418,13330044,11573913.25
419,13330044,11777781.25
420,13330044,11854014.0
421,13330044,11698763.5
422,13330044,11673919.5
423,13330044,11385944.625
424,13330044,12275341.0
425,13330044,12077168.75
426,13330044,12442830.25
427,13330044,12082808.625
428,13330044,11514096.625
429,13330044,11504699.5
430,13330044,10917793.75
431,13330044,11209550.25
432,13330044,12503539.375
433,13330044,11973668.375
434,13330044,11560722.5
435,13330044,11425139.0
436,13330044,11644559.25
437,13330044,12236222.75
438,13330044,11769303.25
439,13330044,12325404.75
440,13330044,12005588.125
441,13330044,11253186.625
442,13330044,11252848.75
443,13330044,11515305.125
444,13330044,12129459.375
445,13330044,11162911.375
446,13330044,11338025.625
447,13330044,11116717.25
448,13330044,11279127.875
449,13330044,10783063.375
