,best,avg
0,0,0.0
1,244,194.625
2,276,178.625
3,276,192.0
4,276,198.0
5,276,209.5
6,276,195.5
7,276,156.5
8,276,180.625
9,276,210.25
10,276,198.375
11,276,177.875
12,276,148.75
13,276,181.375
14,276,196.875
15,276,170.25
16,276,178.75
17,276,195.375
18,276,201.25
19,276,207.125
20,276,185.875
21,276,153.875
22,276,205.25
23,276,176.875
24,276,193.25
25,276,206.5
26,276,192.75
27,276,185.5
28,276,195.625
29,276,187.125
30,276,184.375
31,276,193.625
32,276,179.25
33,276,221.25
34,276,221.625
35,276,208.375
36,276,201.75
37,276,191.375
38,276,182.875
39,276,171.75
40,276,212.75
41,276,228.125
42,276,229.125
43,276,222.75
44,276,212.375
45,276,225.75
46,276,232.875
47,276,211.5
48,276,210.875
49,284,214.375
50,284,238.375
51,284,211.0
52,284,190.75
53,284,204.875
54,284,187.0
55,284,174.375
56,284,219.125
57,284,197.875
58,284,162.75
59,284,171.625
60,284,163.25
61,284,209.0
62,284,243.375
63,284,230.375
64,284,213.0
65,284,179.5
66,284,214.625
67,284,191.75
68,284,205.75
69,284,209.625
70,284,201.75
71,284,197.875
72,284,190.625
73,284,215.25
74,284,195.375
75,284,178.5
76,284,210.625
77,284,205.25
78,284,222.125
79,284,250.0
80,284,223.25
81,309,238.125
