,best,avg,cycle_time(ms)
0,0,0.0,0.0
1,1438,1363.625,2.499818801879883
2,1436,1386.75,3.0264854431152344
3,1431,1373.375,3.56292724609375
4,1438,1398.375,3.024578094482422
5,1425,1367.125,2.994060516357422
6,1434,1374.75,6.557226181030273
7,1442,1375.5,3.023386001586914
8,1444,1401.375,2.0318031311035156
9,1425,1354.0,3.9963722229003906
10,1440,1380.25,3.5457611083984375
11,1452,1372.0,3.0231475830078125
12,1395,1366.75,2.500295639038086
13,1442,1358.625,4.027128219604492
14,1419,1382.5,2.5064945220947266
15,1427,1368.75,3.0291080474853516
16,1443,1386.0,3.018617630004883
17,1425,1379.5,3.419637680053711
18,1434,1392.75,4.015922546386719
19,1442,1385.875,4.50897216796875
20,1426,1351.375,2.9942989349365234
21,1441,1377.25,3.9517879486083984
22,1414,1368.125,3.022909164428711
23,1423,1367.75,3.6077499389648438
24,1435,1357.5,2.995014190673828
25,1439,1397.75,3.9887428283691406
26,1434,1375.875,3.0188560485839844
27,1413,1362.125,3.9916038513183594
28,1444,1381.0,3.6118030548095703
29,1439,1386.75,3.0269622802734375
30,1430,1362.125,3.5538673400878906
31,1418,1361.125,3.0014514923095703
32,1417,1353.875,4.282236099243164
33,1412,1350.25,2.991199493408203
34,1432,1363.625,2.566814422607422
35,1441,1374.5,3.995656967163086
36,1408,1355.875,2.6254653930664062
37,1430,1364.375,4.023551940917969
38,1448,1362.875,2.994060516357422
39,1427,1363.5,3.0379295349121094
40,1435,1374.875,3.0257701873779297
41,1444,1370.875,3.5142898559570312
42,1429,1356.75,3.0264854431152344
43,1431,1379.25,3.579378128051758
44,1417,1350.5,3.804445266723633
45,1433,1380.375,3.187894821166992
46,1403,1355.25,3.9925575256347656
47,1422,1352.75,3.0145645141601562
48,1440,1376.5,3.991842269897461
49,1435,1383.25,2.020597457885742
50,1427,1360.875,4.435062408447266
51,1445,1394.75,2.9916763305664062
52,1442,1392.375,3.548145294189453
53,1433,1374.625,3.0694007873535156
54,1415,1375.0,3.553152084350586
55,1434,1367.875,2.9904842376708984
56,1436,1380.0,3.6339759826660156
57,1413,1366.5,4.041910171508789
58,1445,1356.5,2.5703907012939453
59,1430,1356.25,2.994537353515625
60,1440,1380.625,2.994060516357422
61,1388,1341.875,3.993988037109375
62,1431,1348.375,2.9914379119873047
63,1432,1369.125,2.9959678649902344
64,1451,1367.875,2.9942989349365234
65,1436,1377.75,4.548788070678711
66,1432,1357.875,3.027200698852539
67,1438,1361.625,2.5365352630615234
68,1444,1358.125,3.991842269897461
69,1427,1386.125,2.0303726196289062
70,1386,1362.25,2.9942989349365234
71,1440,1395.125,3.0243396759033203
72,1394,1352.5,4.046440124511719
73,1433,1364.75,3.0264854431152344
74,1446,1380.75,4.291772842407227
75,1399,1350.875,3.0128955841064453
76,1438,1382.75,4.04047966003418
77,1416,1372.125,3.0241012573242188
78,1429,1371.75,3.6017894744873047
79,1417,1385.625,3.9925575256347656
80,1425,1336.625,3.6461353302001953
81,1435,1374.0,3.015756607055664
82,1440,1405.25,3.027200698852539
83,1433,1367.5,4.029035568237305
84,1425,1365.875,3.015279769897461
85,1431,1382.25,3.5614967346191406
86,1450,1385.25,2.9942989349365234
87,1429,1359.875,4.561424255371094
88,1419,1371.875,2.9916763305664062
89,1435,1391.125,3.5598278045654297
90,1430,1352.0,4.216194152832031
91,1429,1386.125,2.9914379119873047
92,1438,1369.875,3.027200698852539
93,1430,1361.75,3.020763397216797
94,1453,1370.0,4.043340682983398
95,1420,1348.875,4.017114639282227
96,1430,1359.75,3.0782222747802734
97,1416,1372.625,2.996683120727539
98,1405,1338.5,3.546476364135742
99,1442,1377.75,2.9904842376708984
100,1427,1369.375,2.500295639038086
101,1426,1378.25,3.0329227447509766
102,1410,1336.875,3.5474300384521484
103,1425,1384.0,3.076791763305664
104,1424,1375.625,3.0210018157958984
105,1440,1356.25,5.859613418579102
106,1414,1370.0,2.9904842376708984
107,1437,1372.875,3.0379295349121094
108,1414,1373.0,3.9937496185302734
109,1439,1383.875,4.018306732177734
110,1438,1402.25,2.994060516357422
111,1439,1350.625,3.106355667114258
112,1442,1391.0,5.018711090087891
113,1444,1399.25,3.554105758666992
114,1409,1370.125,3.018617630004883
115,1410,1340.25,2.5877952575683594
116,1440,1379.0,4.0225982666015625
117,1418,1354.375,3.0143260955810547
118,1433,1370.125,2.9942989349365234
119,1444,1384.0,2.9973983764648438
120,1398,1371.875,3.5588741302490234
121,1425,1359.625,3.0269622802734375
122,1407,1350.5,2.535581588745117
123,1399,1360.25,3.721475601196289
124,1434,1384.25,3.565073013305664
125,1426,1370.0,4.015207290649414
126,1441,1366.875,1.996755599975586
127,1427,1368.0,4.09698486328125
128,1411,1370.5,2.9916763305664062
129,1439,1378.5,4.19306755065918
130,1442,1358.75,3.0193328857421875
131,1399,1345.625,3.503561019897461
132,1443,1339.5,2.991199493408203
133,1423,1374.5,3.572702407836914
134,1418,1365.75,3.0176639556884766
135,1438,1327.625,2.008676528930664
136,1431,1381.125,3.026247024536133
137,1399,1348.375,3.0236244201660156
138,1428,1368.0,4.355907440185547
139,1423,1366.125,3.0155181884765625
140,1446,1360.0,3.573894500732422
141,1436,1371.875,4.508256912231445
142,1429,1379.25,2.6884078979492188
143,1410,1363.125,3.015279769897461
144,1434,1364.875,2.6464462280273438
145,1423,1369.0,4.001140594482422
146,1447,1355.5,2.994537353515625
147,1446,1385.875,4.39906120300293
148,1434,1381.0,3.0181407928466797
149,1426,1351.25,4.518747329711914
150,1438,1398.5,3.4780502319335938
151,1381,1339.125,3.580808639526367
152,1421,1348.5,3.0183792114257812
153,1379,1328.5,3.548145294189453
154,1414,1353.625,3.023862838745117
155,1384,1324.5,3.014802932739258
156,1433,1370.625,4.189252853393555
157,1424,1376.375,3.56292724609375
158,1442,1343.25,3.0317306518554688
159,1420,1359.25,3.4990310668945312
160,1416,1376.875,5.494356155395508
161,1429,1386.125,3.6334991455078125
162,1421,1352.125,3.025054931640625
163,1438,1345.25,4.601001739501953
164,1409,1352.0,4.011869430541992
165,1432,1369.0,2.020597457885742
166,1411,1352.875,2.9942989349365234
167,1436,1376.0,3.0078887939453125
168,1435,1372.375,3.062725067138672
169,1439,1392.125,3.027677536010742
170,1433,1364.625,4.021644592285156
171,1433,1369.875,2.9947757720947266
172,1429,1353.125,2.5489330291748047
173,1445,1381.0,3.9877891540527344
174,1427,1358.375,4.530429840087891
175,1449,1372.875,3.0279159545898438
176,1427,1371.625,3.0269622802734375
177,1379,1336.125,4.037141799926758
178,1447,1384.5,3.0202865600585938
179,1428,1370.625,3.515481948852539
180,1442,1358.0,2.994060516357422
181,1437,1346.125,4.123449325561523
182,1407,1349.125,2.6497840881347656
183,1422,1357.625,2.658367156982422
184,1438,1344.5,2.564668655395508
185,1445,1357.5,4.624605178833008
186,1439,1377.875,3.1104087829589844
187,1425,1382.625,2.9942989349365234
188,1438,1376.125,3.5674571990966797
189,1394,1348.375,4.025459289550781
190,1436,1380.375,3.6432743072509766
191,1407,1350.5,3.025531768798828
192,1451,1361.875,3.4956932067871094
193,1428,1369.75,3.0243396759033203
194,1430,1384.75,3.628253936767578
195,1407,1357.5,2.997875213623047
196,1415,1356.5,2.999544143676758
197,1428,1373.25,3.072023391723633
198,1437,1373.375,3.026723861694336
199,1452,1377.5,3.0128955841064453
200,1442,1366.125,4.0130615234375
201,1447,1395.125,3.477334976196289
202,1451,1372.875,3.0164718627929688
203,1412,1374.625,3.017425537109375
204,1447,1376.125,3.5321712493896484
205,1438,1360.125,3.9825439453125
206,1442,1384.75,3.6094188690185547
207,1424,1390.375,3.5457611083984375
208,1429,1355.375,3.7755966186523438
209,1434,1343.25,3.0150413513183594
210,1437,1349.5,3.019094467163086
211,1444,1363.75,3.2329559326171875
212,1448,1405.5,3.0214786529541016
213,1432,1362.75,3.026247024536133
214,1441,1387.0,2.500295639038086
215,1442,1410.125,4.572629928588867
216,1429,1344.375,3.9887428283691406
217,1433,1360.875,3.5982131958007812
218,1412,1362.0,3.0257701873779297
219,1418,1361.75,3.5440921783447266
220,1439,1341.25,2.988100051879883
221,1443,1363.75,2.9888153076171875
222,1415,1377.0,2.995729446411133
223,1426,1385.75,3.989696502685547
224,1437,1381.125,3.0105113983154297
225,1422,1356.875,3.028392791748047
226,1443,1377.5,4.411935806274414
227,1431,1368.5,2.566099166870117
228,1438,1373.875,3.6492347717285156
229,1428,1356.5,2.562284469604492
230,1425,1354.125,4.560232162475586
231,1439,1369.5,3.3838748931884766
232,1438,1354.125,2.994060516357422
233,1387,1338.5,3.3593177795410156
234,1405,1329.75,2.9921531677246094
235,1444,1386.25,3.1969547271728516
236,1449,1403.625,3.026723861694336
237,1431,1384.375,3.003358840942383
238,1440,1357.625,4.5070648193359375
239,1434,1372.625,3.0236244201660156
240,1441,1352.75,4.955768585205078
241,1446,1381.5,3.9925575256347656
242,1409,1364.625,4.10008430480957
243,1422,1350.875,3.0264854431152344
244,1415,1386.25,3.495454788208008
245,1414,1356.625,2.991914749145508
246,1425,1362.375,3.567934036254883
247,1434,1380.875,3.0226707458496094
248,1438,1379.0,3.030538558959961
249,1442,1366.75,5.61976432800293
250,1438,1362.25,3.0236244201660156
251,1440,1375.75,3.496885299682617
252,1425,1357.375,3.5784244537353516
253,1421,1354.25,4.593133926391602
254,1444,1369.875,3.0241012573242188
255,1422,1365.625,3.0269622802734375
256,1427,1344.75,4.422664642333984
257,1429,1389.0,2.025127410888672
258,1447,1405.25,3.2300949096679688
259,1440,1364.25,3.023862838745117
260,1441,1386.625,4.574775695800781
261,1403,1378.375,3.0150413513183594
262,1420,1363.25,3.551959991455078
263,1420,1377.25,3.0183792114257812
264,1422,1393.625,3.6110877990722656
265,1420,1355.25,3.0145645141601562
266,1411,1363.0,2.9959678649902344
267,1443,1387.375,3.107786178588867
268,1438,1357.25,4.0225982666015625
269,1432,1363.5,2.5386810302734375
270,1417,1357.125,3.0150413513183594
271,1446,1375.625,3.535032272338867
272,1418,1367.0,4.427671432495117
273,1440,1366.125,3.60870361328125
274,1429,1378.75,3.0167102813720703
275,1424,1374.0,3.993988037109375
276,1433,1399.625,3.1232833862304688
277,1414,1371.375,3.030061721801758
278,1438,1386.5,2.5899410247802734
279,1407,1347.625,4.963397979736328
280,1420,1348.875,3.2231807708740234
281,1396,1361.875,4.104375839233398
282,1419,1348.625,3.9653778076171875
283,1452,1364.875,4.010200500488281
284,1422,1366.125,3.015279769897461
285,1429,1374.0,3.0858516693115234
286,1413,1352.25,2.992391586303711
287,1444,1376.0,3.559112548828125
288,1429,1366.875,2.991199493408203
289,1403,1349.125,2.6111602783203125
290,1433,1371.125,4.174232482910156
291,1434,1378.125,3.015279769897461
292,1426,1351.0,3.097057342529297
293,1414,1365.0,3.0219554901123047
294,1408,1369.5,4.817724227905273
295,1407,1347.125,3.0202865600585938
296,1427,1372.5,3.5927295684814453
297,1441,1386.375,3.5707950592041016
298,1419,1348.125,4.537820816040039
299,1399,1358.625,3.016233444213867
300,1426,1365.0,2.994537353515625
301,1434,1371.25,4.309177398681641
302,1411,1335.875,2.0291805267333984
303,1405,1345.125,3.0364990234375
304,1435,1361.0,3.02886962890625
305,1441,1346.375,4.553556442260742
306,1427,1372.5,3.016233444213867
307,1433,1372.0,3.511667251586914
308,1417,1351.125,3.9725303649902344
309,1435,1343.625,3.56292724609375
310,1396,1341.25,3.988981246948242
311,1444,1355.625,2.991914749145508
312,1417,1375.625,4.985570907592773
313,1447,1351.25,5.591630935668945
314,1418,1380.875,2.991914749145508
315,1441,1372.75,4.398107528686523
316,1444,1363.875,6.6356658935546875
317,1433,1379.375,3.5991668701171875
318,1396,1351.75,4.553318023681641
319,1427,1369.75,3.0236244201660156
320,1446,1355.75,2.993345260620117
321,1407,1354.125,5.176305770874023
322,1418,1360.0,2.5017261505126953
323,1405,1370.875,4.025936126708984
324,1443,1376.875,2.994060516357422
325,1434,1372.375,4.411220550537109
326,1432,1371.375,2.7527809143066406
327,1435,1374.625,2.564668655395508
328,1384,1351.5,2.994537353515625
329,1421,1359.875,5.443334579467773
330,1416,1342.125,4.164695739746094
331,1440,1397.75,7.06028938293457
332,1429,1370.875,5.819559097290039
333,1433,1379.875,5.497217178344727
334,1437,1360.125,4.985570907592773
335,1449,1405.5,6.223917007446289
336,1446,1366.125,7.517576217651367
337,1392,1361.25,3.4987926483154297
338,1435,1361.0,6.984710693359375
339,1434,1368.0,4.113435745239258
340,1428,1369.0,5.983591079711914
341,1443,1392.0,4.004240036010742
342,1433,1367.0,2.5870800018310547
343,1419,1377.375,2.991914749145508
344,1444,1359.875,5.364894866943359
345,1410,1358.375,4.010200500488281
