,best,avg,cycle_time(ms)
0,0,0.0,0.0
1,1415,1343.375,6.094217300415039
2,1445,1382.0,6.921052932739258
3,1423,1363.625,5.504608154296875
4,1443,1416.5,5.545139312744141
5,1433,1360.75,4.986763000488281
6,1430,1374.875,5.508184432983398
7,1426,1367.375,5.514860153198242
8,1440,1396.5,7.51185417175293
9,1438,1393.625,3.3881664276123047
10,1431,1404.25,4.497051239013672
11,1434,1393.125,4.989385604858398
12,1421,1375.0,4.496574401855469
13,1449,1403.0,4.989385604858398
14,1356,1325.25,6.225109100341797
15,1439,1389.75,2.9916763305664062
16,1448,1389.375,4.522085189819336
17,1433,1377.5,4.984855651855469
18,1420,1375.75,3.0264854431152344
19,1436,1396.125,3.022432327270508
20,1427,1388.625,4.508495330810547
21,1440,1376.875,4.012823104858398
22,1436,1373.5,2.562284469604492
23,1430,1385.0,4.153966903686523
24,1438,1389.75,5.575895309448242
25,1443,1395.375,3.0155181884765625
26,1432,1374.5,2.9680728912353516
27,1435,1382.0,2.930879592895508
28,1425,1366.125,4.987955093383789
29,1423,1376.0,3.5135746002197266
30,1443,1409.625,4.021167755126953
31,1450,1369.375,4.162788391113281
32,1416,1364.75,4.019975662231445
33,1444,1385.0,3.284454345703125
34,1431,1368.75,4.013776779174805
35,1410,1361.125,4.517555236816406
36,1421,1353.0,4.014492034912109
37,1403,1362.0,3.9772987365722656
38,1436,1402.625,4.2209625244140625
39,1436,1385.125,4.011631011962891
40,1439,1396.0,3.003358840942383
41,1425,1381.0,3.0155181884765625
42,1430,1365.375,3.1862258911132812
43,1429,1365.625,3.0126571655273438
44,1447,1359.0,3.615856170654297
45,1433,1376.625,4.278898239135742
46,1437,1368.125,4.000663757324219
47,1433,1355.0,4.229068756103516
48,1441,1354.25,2.9942989349365234
49,1431,1365.625,3.0477046966552734
50,1426,1390.875,4.019498825073242
51,1444,1383.5,3.1621456146240234
52,1430,1396.375,2.9909610748291016
53,1442,1390.75,2.019166946411133
54,1387,1351.125,3.458738327026367
55,1431,1362.125,3.9649009704589844
56,1444,1387.125,3.7784576416015625
57,1442,1374.5,2.9916763305664062
58,1432,1383.5,4.537820816040039
59,1444,1388.875,3.0269622802734375
60,1436,1378.75,3.6323070526123047
61,1432,1364.5,2.9914379119873047
62,1454,1371.25,3.99017333984375
63,1450,1368.125,3.111124038696289
64,1434,1356.125,3.023862838745117
65,1429,1362.125,5.129575729370117
66,1424,1363.625,2.992391586303711
67,1429,1369.25,2.546548843383789
68,1440,1396.625,3.985881805419922
69,1444,1373.125,5.623340606689453
70,1442,1390.0,4.010677337646484
71,1432,1382.0,3.155946731567383
72,1435,1400.875,6.276845932006836
73,1447,1373.5,6.988763809204102
74,1392,1359.125,3.5059452056884766
75,1434,1361.625,2.0294189453125
76,1436,1376.25,3.074169158935547
77,1444,1346.25,3.9823055267333984
78,1429,1387.75,4.085063934326172
79,1439,1373.375,2.992868423461914
80,1436,1392.625,5.30695915222168
81,1425,1367.875,7.607460021972656
82,1442,1360.25,7.509469985961914
83,1429,1401.625,4.986763000488281
84,1439,1378.875,4.010200500488281
85,1407,1362.375,7.140159606933594
86,1420,1363.25,5.010843276977539
87,1421,1368.0,3.020763397216797
88,1416,1381.875,4.024982452392578
89,1444,1373.875,3.0260086059570312
90,1451,1348.875,5.129098892211914
91,1428,1375.75,5.575418472290039
92,1413,1367.75,3.0143260955810547
93,1418,1347.375,6.506681442260742
94,1444,1376.25,3.023386001586914
95,1449,1405.0,3.6618709564208984
96,1431,1381.25,3.988981246948242
97,1381,1349.375,3.2999515533447266
98,1388,1338.25,2.992868423461914
99,1437,1388.5,4.523038864135742
100,1429,1384.25,3.986835479736328
101,1444,1382.875,2.2275447845458984
102,1419,1380.625,4.992485046386719
103,1443,1372.5,4.506587982177734
104,1428,1368.5,3.9572715759277344
105,1427,1381.875,3.0066967010498047
106,1433,1381.375,5.614042282104492
107,1436,1381.5,6.01506233215332
108,1439,1362.375,7.019519805908203
109,1441,1377.375,3.0181407928466797
110,1450,1381.25,6.624937057495117
111,1421,1377.375,3.031015396118164
112,1435,1374.875,3.6759376525878906
113,1419,1377.375,6.585121154785156
114,1433,1390.875,2.9976367950439453
115,1427,1371.375,3.0286312103271484
116,1403,1355.0,4.093170166015625
117,1434,1331.125,3.9777755737304688
118,1442,1389.5,3.1049251556396484
119,1415,1360.75,4.987001419067383
120,1448,1382.25,4.028797149658203
121,1406,1337.0,4.492759704589844
122,1441,1386.25,5.371809005737305
123,1394,1350.5,6.613254547119141
124,1436,1372.125,7.507562637329102
125,1441,1380.625,5.498647689819336
126,1430,1401.375,3.986835479736328
127,1435,1372.375,9.011983871459961
128,1422,1371.0,9.108543395996094
129,1410,1382.125,6.003141403198242
130,1436,1374.25,10.046958923339844
131,1433,1382.125,5.043983459472656
132,1410,1340.375,9.526729583740234
133,1443,1363.25,5.98597526550293
134,1408,1348.5,4.014492034912109
135,1403,1357.0,2.9916763305664062
136,1441,1398.0,8.03828239440918
137,1447,1379.375,3.894329071044922
138,1416,1376.375,4.988431930541992
139,1444,1370.625,6.277561187744141
140,1418,1331.375,2.991199493408203
141,1444,1382.0,3.9947032928466797
142,1449,1383.75,4.5223236083984375
143,1417,1353.25,2.9938220977783203
144,1456,1379.125,2.992391586303711
145,1435,1393.25,5.510091781616211
146,1437,1383.0,1.9860267639160156
147,1425,1363.625,3.007650375366211
148,1412,1345.5,4.990577697753906
149,1378,1355.75,3.9947032928466797
150,1395,1360.0,2.9909610748291016
151,1446,1344.25,2.5055408477783203
152,1439,1380.125,4.985570907592773
153,1412,1373.0,3.4885406494140625
154,1426,1362.375,3.9894580841064453
155,1439,1390.125,5.5103302001953125
156,1444,1368.125,3.988504409790039
157,1430,1366.0,3.497600555419922
158,1450,1374.0,3.9916038513183594
159,1421,1366.25,5.515098571777344
160,1430,1382.125,3.995180130004883
161,1418,1348.875,2.9914379119873047
162,1433,1399.5,4.283666610717773
163,1442,1397.75,4.512310028076172
164,1404,1359.75,3.385305404663086
165,1423,1367.75,3.024578094482422
166,1429,1373.0,7.0514678955078125
167,1401,1353.375,2.5587081909179688
168,1413,1395.125,2.5675296783447266
