,best,avg,cycle_time(ms)
0,0,0.0,0.0
1,1437,1393.875,4.978656768798828
2,1445,1386.75,3.073453903198242
3,1442,1386.125,3.0295848846435547
4,1442,1385.375,3.499269485473633
5,1425,1349.375,2.994060516357422
6,1446,1378.75,1.9948482513427734
7,1440,1388.5,3.028392791748047
8,1427,1359.25,3.4027099609375
9,1426,1356.0,3.3838748931884766
10,1429,1384.0,2.994537353515625
11,1449,1393.375,3.495931625366211
12,1437,1397.625,2.9935836791992188
13,1437,1383.25,3.620147705078125
14,1444,1389.125,4.189252853393555
15,1450,1408.25,2.0258426666259766
16,1432,1400.5,2.9959678649902344
17,1433,1384.5,2.994537353515625
18,1419,1362.875,3.612995147705078
19,1412,1360.625,3.026723861694336
20,1444,1386.5,3.267049789428711
21,1435,1381.625,5.012035369873047
22,1451,1391.0,3.5250186920166016
23,1433,1365.875,3.017902374267578
24,1458,1372.875,3.5381317138671875
