,best,avg,cycle_time(ms)
0,0,0.0,0.0
1,1442,1389.125,2.9916763305664062
2,1421,1374.125,3.541707992553711
3,1415,1361.625,2.026796340942383
4,1440,1394.25,3.4973621368408203
5,1437,1387.75,3.2377243041992188
6,1420,1369.0,3.9949417114257812
7,1425,1363.75,3.0312538146972656
8,1374,1340.625,3.0281543731689453
9,1412,1366.75,3.253936767578125
10,1437,1377.125,3.9806365966796875
11,1439,1392.875,2.5942325592041016
12,1446,1361.5,4.986047744750977
13,1431,1382.125,5.580425262451172
14,1429,1371.25,5.042791366577148
15,1419,1378.625,3.0295848846435547
16,1439,1393.875,3.991842269897461
17,1438,1380.375,3.9548873901367188
18,1449,1385.0,3.0155181884765625
19,1422,1373.375,4.058361053466797
20,1444,1395.875,3.582000732421875
21,1375,1342.125,2.9954910278320312
22,1423,1358.0,2.9964447021484375
23,1439,1369.25,5.539178848266602
24,1413,1349.0,3.0269622802734375
25,1419,1363.375,3.5791397094726562
26,1439,1383.625,2.994537353515625
27,1443,1391.625,4.073858261108398
28,1431,1366.125,2.994060516357422
29,1436,1362.875,2.497434616088867
30,1401,1351.625,2.9981136322021484
31,1438,1373.125,2.6335716247558594
32,1425,1374.375,2.994537353515625
33,1448,1363.75,4.024028778076172
34,1423,1367.625,4.112958908081055
35,1435,1346.625,2.0287036895751953
36,1414,1361.5,4.084348678588867
37,1438,1357.625,2.994537353515625
38,1448,1384.375,3.8154125213623047
39,1439,1381.125,3.027200698852539
40,1437,1358.25,2.663850784301758
41,1425,1382.0,3.992795944213867
42,1435,1344.625,2.5000572204589844
43,1437,1373.625,3.9908885955810547
44,1433,1375.375,3.499746322631836
45,1425,1373.25,3.3788681030273438
46,1430,1353.25,3.0274391174316406
47,1440,1358.5,3.484487533569336
48,1414,1368.375,2.9926300048828125
49,1427,1367.75,3.6547183990478516
50,1431,1381.75,3.015756607055664
51,1446,1370.75,3.543853759765625
52,1440,1337.625,4.990100860595703
53,1436,1373.875,2.5489330291748047
54,1407,1365.0,3.017902374267578
55,1423,1349.875,3.0159950256347656
56,1435,1345.875,3.4601688385009766
57,1433,1356.125,3.02886962890625
