,best,avg,cycle_time(ms)
0,0,0.0,0.0
1,1444,1395.5,2.9921531677246094
2,1442,1406.875,3.6182403564453125
3,1442,1405.0,3.0155181884765625
4,1432,1400.875,4.012346267700195
5,1424,1358.875,2.9942989349365234
6,1435,1361.0,3.9882659912109375
7,1431,1368.375,3.2525062561035156
8,1444,1367.125,2.994060516357422
9,1441,1365.25,4.140138626098633
10,1432,1413.375,2.99072265625
11,1411,1362.125,3.5009384155273438
12,1420,1360.125,3.031492233276367
13,1432,1367.125,3.521442413330078
14,1435,1379.125,3.0257701873779297
15,1431,1383.375,2.506256103515625
16,1448,1368.0,2.9947757720947266
17,1442,1395.125,5.554676055908203
18,1423,1370.125,2.991199493408203
19,1438,1379.375,2.0294189453125
20,1431,1379.0,4.035711288452148
21,1433,1384.25,3.9861202239990234
22,1422,1368.625,3.1092166900634766
23,1452,1381.875,3.026723861694336
24,1422,1385.0,3.640413284301758
25,1449,1390.75,3.0260086059570312
26,1419,1351.625,2.535581588745117
27,1425,1374.0,2.994060516357422
28,1420,1341.875,3.0219554901123047
29,1439,1362.125,3.988504409790039
30,1445,1376.875,3.0143260955810547
31,1432,1371.125,3.9937496185302734
32,1436,1354.125,2.5634765625
33,1431,1370.375,2.9659271240234375
34,1434,1367.875,3.5631656646728516
35,1438,1401.375,4.652261734008789
36,1439,1385.125,2.994060516357422
37,1438,1375.375,3.606557846069336
38,1430,1384.75,3.992795944213867
39,1434,1391.875,2.2122859954833984
40,1437,1380.125,3.97491455078125
41,1442,1370.5,2.6078224182128906
42,1450,1390.125,3.987550735473633
43,1432,1380.0,3.0243396759033203
44,1427,1396.75,3.018617630004883
45,1421,1377.625,3.994464874267578
46,1447,1355.0,5.097389221191406
47,1410,1345.25,2.994060516357422
48,1447,1377.875,3.5424232482910156
49,1412,1361.75,2.9954910278320312
50,1422,1362.75,3.5386085510253906
51,1414,1375.75,3.020763397216797
52,1440,1375.625,2.5746822357177734
53,1446,1355.125,5.279779434204102
54,1431,1366.875,3.175497055053711
55,1428,1379.625,2.991199493408203
56,1399,1352.875,2.994537353515625
57,1419,1356.375,4.012823104858398
58,1434,1388.75,2.9942989349365234
59,1401,1360.125,3.5152435302734375
60,1438,1391.5,3.9892196655273438
61,1429,1373.375,3.620147705078125
62,1434,1387.75,3.0159950256347656
63,1439,1393.25,3.5524368286132812
64,1458,1361.25,3.0143260955810547
